
> dev
> vite

[33mThe CJS build of Vite's Node API is deprecated. See https://vite.dev/guide/troubleshooting.html#vite-cjs-node-api-deprecated for more details.[39m
Port 3000 is in use, trying another one...
Port 3001 is in use, trying another one...
Port 3002 is in use, trying another one...
Port 3003 is in use, trying another one...
Port 3004 is in use, trying another one...

  VITE v5.4.21  ready in 170 ms

  ➜  Local:   http://localhost:3005/
9:07:14 PM [vite] hmr update /src/routes/App.jsx
9:07:16 PM [vite] hmr update /src/routes/App.jsx
9:10:58 PM [vite] hmr update /src/routes/App.jsx
9:12:46 PM [vite] hmr update /src/screens/Intent.jsx
9:13:15 PM [vite] hmr update /src/screens/Intent.jsx
9:13:44 PM [vite] hmr update /src/screens/Intent.jsx
9:14:42 PM [vite] hmr update /src/screens/Intent.jsx
9:15:26 PM [vite] hmr update /src/screens/Intent.jsx
9:15:30 PM [vite] hmr update /src/screens/Intent.jsx
9:16:10 PM [vite] hmr update /src/screens/Intent.jsx
9:16:18 PM [vite] hmr update /src/screens/Intent.jsx
9:19:39 PM [vite] hmr update /src/screens/Intent.jsx
9:20:05 PM [vite] hmr update /src/screens/Intent.jsx
9:20:12 PM [vite] hmr update /src/screens/Intent.jsx
9:20:35 PM [vite] hmr update /src/screens/Intent.jsx
9:21:19 PM [vite] hmr update /src/screens/Intent.jsx
9:21:20 PM [vite] hmr update /src/screens/Intent.jsx
9:21:33 PM [vite] page reload src/main.jsx
9:22:44 PM [vite] hmr update /src/screens/Intent.jsx
9:27:05 PM [vite] hmr update /src/screens/Intent.jsx
9:28:05 PM [vite] hmr update /src/screens/Intent.jsx
9:28:14 PM [vite] hmr update /src/screens/Intent.jsx
9:28:16 PM [vite] hmr update /src/screens/Intent.jsx
9:28:17 PM [vite] hmr update /src/screens/Intent.jsx
9:28:20 PM [vite] hmr update /src/screens/Intent.jsx
9:28:50 PM [vite] page reload src/main.jsx
9:30:03 PM [vite] hmr update /src/screens/Intent.jsx
9:30:23 PM [vite] hmr update /src/screens/Intent.jsx
9:30:44 PM [vite] hmr update /src/screens/Intent.jsx
9:30:45 PM [vite] hmr update /src/screens/Intent.jsx
